titulo,start_hour,end_hour,location,reference_date
Sem compromisso oficial,00h00,,,2019-02-06
Sem compromisso oficial,00h00,,,2019-02-07
"Tarcísio de Freitas, Ministro de Estado da Infraestrutura",15h00,16h00,São Paulo/SP,2019-02-08
"Ricardo Salles, Ministro de Estado do Meio Ambiente",16h00,16h30,São Paulo/SP,2019-02-09
Sem compromisso oficial,00h00,,,2019-02-10
"Sergio Moro, Ministro de Estado da Justiça e Segurança Pública; 	Fernando Azevedo, Ministro de Estado da Defesa, e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência 	da República",10h30,12h00,São Paulo/SP,2019-02-11
"João Doria, Governador do estado de São Paulo, e General João 	Campos, Secretário da Segurança Pública do estado de São Paulo",13h30,16h00,São Paulo/SP,2019-02-11
Sem compromisso oficial,00h00,,,2019-02-12
"Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República",15h30,16h15,Palácio da Alvorada,2019-02-13
"Fernando Azevedo, Ministro de Estado da Defesa, e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República",17h30,18h30,Palácio da Alvorada,2019-02-13
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da 	República; Fernando Azevedo, Ministro de Estado da Defesa, e 	Augusto Heleno, Ministro-Chefe do Gabinete de Segurança 	Institucional da Presidência da República",18h30,19h30,Palácio da Alvorada,2019-02-13
"Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República",08h00,08h50,Palácio da Alvorada,2019-02-14
